optional,optional,optional,optional,required,required,required if not BC,required,required,required,required,required,required,required,optional,optional,required,required,optional,optional,optional,optional,optional,optional,optional,optional,optional,optional,,optional,optional,required,optional,required,required
tree_code,tree_common,tree_latin,tree_type,geog_national,geog_bc_not_bc,geog_prov_state,geog_region,forest_type,bec_zone_acron,bec_zone_name,practices,value,technique,silviculture system,technique_2,resource_type,training_group,wildlife_species,habitat,equipment,forest_product,tenure,zonation,stand_development,disturbance_type,bec_label,associated WG or COP,associated Featured topics tag,metadata_descriptive location_geog_regional,metadata_descriptive location_research_forest,metadata_organization,additional_organization,metadata_license,metadata_publication year
,,,,,,,,,,,,,,,,,,,,,,,,,Decay fungi,CWHb1,,,,,,,Creative Commons Attribution (CC BY),
Fd,Douglas-fir,Pseudotsuga menziesii,Coniferous,Canada,British Columbia,Quebec,Northern BC,Coastal forests,CWH,Coastal western hemlock ,Harvest,Wildfire risk,Brushing,Selection system,Grinding,Case study ,train-micro,Moose,Wetland habitat,Primary transport equipment,Low-value timber,Area-based,WUI ,Site productivity,Bark beetle,CWHdm,,fire-cultural-practice,Lower Mainland BC,Roberts Creek Study Forest,Artemis Wildlife Consultants,,Creative Commons CCZero (CC0),
Cw,Western redcedar ,Thuja plicata,Deciduous,USA,Other Canadian Provinces/Territories,Saskatchewan,Southern BC,Boreal forests,CDF,Coastal douglas fir ,Reforestation,Wildlife ,Commercial thinning,Irregular system,Mulching,Extension note,train-courses,Caribou,Riparian habitat,Mechanical falling equipment ,Full fiber utilization,Tree Farm license,OGMA ,Silvics,Mountain pine beetle,CWHdm1,,fire-prescribed-fire,Boundary,Snowden demonstration forest,Association of Fire Ecology,,Creative Commons Non-Commercial (CC BY-NC),
Ss,Sitka spruce,Picea sitchensis,,Global,Western USA,Alberta,Interior BC,Sub-boreal forests,BWBS,Boreal white and black spruce ,Site preparation,Hydrology,Cultural fire,Even-aged system,Mastication,Decision aid ,,Mule deer,Grassland habitat,Processing equipment,Pellet,Woodlot,WHA ,Stand age,Western spruce budworm,"CWHds1,2",,fire-forestry-coastal,Fraser Canyon - Bridge River ,Date Creek research forest,B.A Blackwell and Associates Ltd,,"Creative Commons Non-Commercial, No-Derivatives (CC BY-NC-ND)",
,,,,,,,,,,,,,,,,,,,,,,,,,,CWHd,,,,,,,Open Data Commons (ODC-By),
Hw,Western hemlock,Tsuga heterophylla,,,,Oregon,Coastal BC,Dry interior forests,SWB,Spruce willow birch ,Waste management,Cultural plants,Fertilizing,Clearcut system,Pellet production,Indigenous knowledge,,Southern red-backed vole,,Loading equipment,Pulp,Community forest,GAR ,Structure,Western hemlock looper,CWHmm1,,fire-forestry-boreal,Shuswap,Alex Fraser research forest,BC Community Forest Association,,Open Data Commons Open Database License (ODbL),
Ba,Amabilis fir,Abies amabilis,,,,Washington,Central BC,Montane and subalpine forests,SBS,Sub-boreal spruce ,Fuel management,Biomass,Models,Coppice system,Biochar,Magazine article,,Snowshoe hare,,Cable equipment,Plywood,First Nations woodland license,WMA ,Genetic worth,Black army cutworm,CWHmm2,,fire-forestry-sub-boreal,Shuswap - Sicamous ,West Arm Demonstration Forest,BC Forest Practices Board,,License not specified,
Bg,Grand fir,Abies grandis,,,,California,Southern Interior BC,Wet interior forests,SBPS,Sub-boreal pine-spruce ,Stand tending,Carbon ,Monitoring,Shelterwood system,Herbicide,Peer-reviewed literature,,Ruffed grouse,,Aerial systems,Veneer,Volume-based,Conservation lands,Competition,Windthrow,"CWHms1,2",,fire-forestry-dry-interior,Shuswap - Revelstoke,Aleza Lake Research Forest ,BC Forest Safety,,Other (Attribution),
Mb,Bigleaf maple,Acer macrophyllum,,,,Wyoming,Northern Interior BC,All forest types,IDF,Interior douglas fir ,Adaptive management,Old growth attributes,Planting,Seed tree system,Manual brushing,Technical report,,Black bear,,Mechanical processing,Biochar,First Nations Treaty Area,Sensitive waters ,Natural disturbances,Fire,"CWHvh1,2",,fire-forestry-subalpine,Chilcotin,Malcolm Knapp Research Forest,BC Future Forest Ecosystems Centre,,Other (Non-commercial),
Dr,Red alder,Alnus rubra,,,,Arizona,Central Interior BC,,PP,Ponderosa pine ,Restoration,Forest health,Prescribed fire,Retention system,Clumped planting,Visual media,,Sheep,,Operating techniques,Non-Timber Forest Product,,Wildlife habitat features,Growth,Douglas fir tussock moth,CWHvh2,,fire-forestry-wet-interior,Chilcotin (western),Harrop Proctor Community Forests - Redfish Creek,BC Ministry of Forests,,Other (Not open),
Qg,Garry oak,Quercus garryana,,,,Colorado ,Central Coast BC,,MS,Montane spruce ,Salvage,Ecosystem health,Pruning,Group cut,Mechanical brushing,Guidance document,,Goats,,Heavy lift helicopter,Sawlog,,Access management,,Dwarf mistletoe,CWHvm,,fire-interactions-values,Chilcotin Plateau,Harrop Proctor Community Forest - Narrows Creek,"BC Ministry of Water, Land, and Resource Stewardship",,Other (Open),
Ra,Arbutus,Arbutus menziesii,,,,New Mexico,North Coast BC,,ESSF,Engelmann spruce subalpine fir ,,Climate change resilience,Spacing,Strip cut,,Presentation slides,,Pine marten,,Cable equipment,,,UWR,,Spruce beetle,CWHvm1,,fire-strategies,Cariboo,John Prince Research Forest,BC Timber Sales,,Other (Public Domain),
Sw,White spruce,Picea glauca,,,,Montana,South Coast BC,,ICH,Interior Cedar Hemlock ,,Timber,Variable density thinning,Patch cut,,Webinar,,Pink salmon,,Grapple helicopter,,,Ecological anchors,,Root rot,CWHvm2,,fire-collab-management,Cariboo - Prince George,Jaffray (research site),BC Wildfire Service,,Canada Open Government License (OGL),
Sb,Black spruce,Picea mariana,,,,Northwest Territories,North Island BC,,MH,Montane hemlock ,,Cultural,Variable retention,Uniform cut,,Podcast,,Chum salmon,,Swing yarder,,,RMA,,Frost,"CWHwh1,2",,fire-training,Cariboo - Omineca,Burns Lake Community Forest,BC Wildlife Federation,,"Other (Not open); Crown copyright (Province of British Columbia), all rights reserved",
,,,,,,,,,,,,,,,,,,,,,,,,,,CWHwm,,fire-forestry-multiple,Cariboo - Horsefly,Sunshine Coast Community Forest,British Columbia Institute of Agrologists,,,
Pl,Lodgepole pine,Pinus contorta,,,,,South Island BC,,AT,Alpine tundra,,Economic,,Single tree cut,,Community of practice,,Sockeye salmon,,Masticator,,,NMNEA,,Carabid beetle,CWHws,,,Cariboo - Williams Lake,,Bulkley Valley Research Centre,,,
